variavel,cluster_a,cluster_b,n_a,n_b,U,p_raw,p_adj,significativo
Brasileira,0,3,357524,3221,192794308.0,0.0,0.0,True
Brasileira,0,2,357524,5848,550329287.0,0.0,0.0,True
Brasileira,3,2,3221,5848,12205878.0,7.809356105199097e-121,9.371227326238916e-121,True
cr_4_pct,1,0,35757,357523,4795707421.5,0.0,0.0,True
cr_4_pct,1,3,35757,12416,209756177.0,4.2711592401316454e-20,6.406738860197469e-20,True
cr_4_pct,1,2,35757,5848,107448178.5,0.0006626867691529617,0.0006626867691529617,True
cr_4_pct,0,3,357523,12416,2497959520.0,3.663880848388914e-126,7.327761696777828e-126,True
cr_4_pct,0,2,357523,5848,1336214485.0,1.5542311245437224e-294,4.6626933736311676e-294,True
cr_4_pct,3,2,12416,5848,38980641.0,5.752826200807423e-16,6.903391440968907e-16,True
Terreno_pct,1,0,35757,357524,4614839564.0,0.0,0.0,True
Terreno_pct,1,3,35757,12724,217234611.5,1.75499595347105e-17,1.75499595347105e-17,True
Terreno_pct,1,2,35757,5848,112901466.0,8.66858720900156e-29,1.0402304650801871e-28,True
Terreno_pct,0,3,357524,12724,2742529526.0,0.0,0.0,True
Terreno_pct,0,2,357524,5848,1410713701.0,0.0,0.0,True
Terreno_pct,3,2,12724,5848,41564795.0,1.7322248556723887e-48,2.598337283508583e-48,True
ResidencialPopularHor,1,0,35757,357524,3706309232.0,0.0,0.0,True
ResidencialPopularHor,1,3,35757,12724,223558646.0,0.0012192438146223813,0.0012192438146223813,True
ResidencialPopularHor,1,2,35757,5848,120050909.5,8.571209759744866e-94,1.28568146396173e-93,True
ResidencialPopularHor,0,3,357524,12724,3145451197.0,0.0,0.0,True
ResidencialPopularHor,0,2,357524,5848,1616316740.5,0.0,0.0,True
ResidencialPopularHor,3,2,12724,5848,43039420.0,3.627309140061115e-87,4.352770968073338e-87,True
30a39anos,1,0,35757,357524,8385453844.5,0.0,0.0,True
30a39anos,1,3,35757,3221,35220833.0,8.626675324632854e-293,1.2940012986949283e-292,True
30a39anos,1,2,35757,5848,89750951.5,1.0485630921010704e-67,1.0485630921010704e-67,True
30a39anos,0,3,357524,3221,197726545.0,0.0,0.0,True
30a39anos,0,2,357524,5848,557105771.0,0.0,0.0,True
30a39anos,3,2,3221,5848,12036751.5,7.523172366841476e-107,9.02780684020977e-107,True
DestinoMotivoOutros,1,0,35757,357524,6258064797.5,6.029262588964122e-11,9.043893883446183e-11,True
DestinoMotivoOutros,1,3,35757,12724,204459575.0,1.0802652041212638e-64,6.481591224727583e-64,True
DestinoMotivoOutros,1,2,35757,5848,107179417.0,0.0020422224556600407,0.0020422224556600407,True
DestinoMotivoOutros,0,3,357524,12724,2096150134.5,2.9794205269519205e-51,8.938261580855761e-51,True
DestinoMotivoOutros,0,2,357524,5848,1093540317.0,1.4471096681553363e-09,1.7365316017864035e-09,True
DestinoMotivoOutros,3,2,12724,5848,41929155.0,4.689136677915776e-44,9.378273355831551e-44,True
CA,1,0,35757,357524,8388166368.5,0.0,0.0,True
CA,1,3,35757,12724,138016142.0,0.0,0.0,True
CA,1,2,35757,5848,99946863.5,6.296802224715587e-08,6.296802224715587e-08,True
CA,0,3,357524,12724,829116517.0,0.0,0.0,True
CA,0,2,357524,5848,667917398.5,0.0,0.0,True
CA,3,2,12724,5848,51234848.0,0.0,0.0,True
ResidencialMedioPadraoVert,1,0,35757,357524,7902674974.0,0.0,0.0,True
ResidencialMedioPadraoVert,1,3,35757,12724,234522849.0,1.4677948030035776e-09,1.4677948030035776e-09,True
ResidencialMedioPadraoVert,1,2,35757,5848,89604113.0,5.214507727031544e-89,6.257409272437852e-89,True
ResidencialMedioPadraoVert,0,3,357524,12724,1824751108.0,0.0,0.0,True
ResidencialMedioPadraoVert,0,2,357524,5848,655551500.5,0.0,0.0,True
ResidencialMedioPadraoVert,3,2,12724,5848,30965541.0,3.217061314380584e-98,4.8255919715708764e-98,True
ValorTerrenoM2,1,0,35757,357524,10921015088.5,0.0,0.0,True
ValorTerrenoM2,1,3,35757,12724,192411443.0,1.4396298611695072e-147,1.7275558334034085e-147,True
ValorTerrenoM2,1,2,35757,5848,72542129.0,2.574870477904596e-309,3.862305716856894e-309,True
ValorTerrenoM2,0,3,357524,12724,494443045.5,0.0,0.0,True
ValorTerrenoM2,0,2,357524,5848,170870309.0,0.0,0.0,True
ValorTerrenoM2,3,2,12724,5848,32135299.0,1.8419156396926726e-50,1.8419156396926726e-50,True
OutrosUsos_pct,1,0,35757,357524,6489203049.0,1.2104355396250643e-06,1.2104355396250643e-06,True
OutrosUsos_pct,1,3,35757,12724,297429026.5,0.0,0.0,True
OutrosUsos_pct,1,2,35757,5848,114434782.5,4.321426330126953e-32,6.48213949519043e-32,True
OutrosUsos_pct,0,3,357524,12724,2906984085.0,0.0,0.0,True
OutrosUsos_pct,0,2,357524,5848,1122182424.5,5.587069153244277e-23,6.704482983893132e-23,True
OutrosUsos_pct,3,2,12724,5848,28852115.5,4.660801217511923e-151,9.321602435023847e-151,True
densidade_hec,1,0,35693,356243,4689322119.0,0.0,0.0,True
densidade_hec,1,3,35693,12706,210700774.5,1.649894874343209e-32,2.474842311514814e-32,True
densidade_hec,1,2,35693,5843,105757495.0,0.08144294847695695,0.08144294847695695,False
densidade_hec,0,3,356243,12706,2655199009.0,4.268217030024002e-242,8.536434060048004e-242,True
densidade_hec,0,2,356243,5843,1319397265.0,8.703083454610015e-271,2.6109250363830046e-270,True
densidade_hec,3,2,12706,5843,40118028.5,8.904557126774287e-19,1.0685468552129144e-18,True
50a64anos,1,0,35757,357524,8441667794.0,0.0,0.0,True
50a64anos,1,3,35757,3221,37030412.5,1.1088209220852226e-247,1.663231383127834e-247,True
50a64anos,1,2,35757,5848,89472075.5,3.2341912784366763e-70,3.881029534124012e-70,True
50a64anos,0,3,357524,3221,197618971.5,0.0,0.0,True
50a64anos,0,2,357524,5848,557338613.0,0.0,0.0,True
50a64anos,3,2,3221,5848,11511288.0,5.894652671420979e-69,5.894652671420979e-69,True
cr_5_pct,1,0,35757,357523,6520243991.5,1.7374790394155022e-256,1.0424874236493013e-255,True
cr_5_pct,1,3,35757,12416,224149950.5,6.778453717234968e-09,8.134144460681961e-09,True
cr_5_pct,1,2,35757,5848,103687986.0,0.0006632616143756397,0.0006632616143756397,True
cr_5_pct,0,3,357523,12416,2196964047.5,1.7612162597660746e-29,3.522432519532149e-29,True
cr_5_pct,0,2,357523,5848,1015872404.0,2.2836321828652e-103,6.850896548595601e-103,True
cr_5_pct,3,2,12416,5848,35653366.5,6.381966804541468e-13,9.572950206812203e-13,True
Maisde2Baldeacoes,1,0,35757,357524,5279041650.5,0.0,0.0,True
Maisde2Baldeacoes,1,3,35757,12724,252363981.0,2.838696711278904e-75,4.2580450669183563e-75,True
Maisde2Baldeacoes,1,2,35757,5848,109642979.5,2.2304402580496755e-09,2.6765283096596104e-09,True
Maisde2Baldeacoes,0,3,357524,12724,2944986111.5,0.0,0.0,True
Maisde2Baldeacoes,0,2,357524,5848,1264121539.5,2.389535854958971e-166,4.779071709917942e-166,True
Maisde2Baldeacoes,3,2,12724,5848,35946902.0,0.0002064230511660121,0.0002064230511660121,True
ResidencialPopularVert_pct,1,0,35757,357524,6674955235.5,1.0703366163734218e-272,6.422019698240532e-272,True
ResidencialPopularVert_pct,1,3,35757,12724,226207008.5,0.06528756827239247,0.06528756827239247,False
ResidencialPopularVert_pct,1,2,35757,5848,105368723.0,0.058576274621844185,0.06528756827239247,False
ResidencialPopularVert_pct,0,3,357524,12724,2161789196.5,5.5174754243253956e-136,1.6552426272976187e-135,True
ResidencialPopularVert_pct,0,2,357524,5848,1006899584.0,3.27510238914092e-37,6.55020477828184e-37,True
ResidencialPopularVert_pct,3,2,12724,5848,37697711.5,0.004511809781723938,0.0067677146725859064,True
cont_aceleradora,1,0,35757,357524,6415248088.0,9.155134299176871e-91,2.7465402897530617e-90,True
cont_aceleradora,1,3,35757,12724,226425178.5,1.3675049492839695e-09,2.0512574239259546e-09,True
cont_aceleradora,1,2,35757,5848,105009612.0,4.1813197694017393e-07,5.017583723282087e-07,True
cont_aceleradora,0,3,357524,12724,2255662985.0,6.324265795150726e-185,3.794559477090436e-184,True
cont_aceleradora,0,2,357524,5848,1046157492.0,0.03949490755000184,0.03949490755000184,True
cont_aceleradora,3,2,12724,5848,37541236.0,3.0433169109413035e-13,6.086633821882607e-13,True
FracaoIdeal,1,0,35757,357524,6123233104.5,0.0,0.0,True
FracaoIdeal,1,3,35757,12724,241422481.5,1.670502332709881e-113,2.5057534990648217e-113,True
FracaoIdeal,1,2,35757,5848,109584687.0,1.3140003574510369e-43,1.5768004289412441e-43,True
FracaoIdeal,0,3,357524,12724,2508029259.0,0.0,0.0,True
FracaoIdeal,0,2,357524,5848,1139696798.0,0.0,0.0,True
FracaoIdeal,3,2,12724,5848,36679330.5,0.005026372062893843,0.005026372062893843,True
AreaConstruida,1,0,35757,357524,9310043163.0,0.0,0.0,True
AreaConstruida,1,3,35757,12724,147212494.0,0.0,0.0,True
AreaConstruida,1,2,35757,5848,95196680.5,4.313268292981285e-28,4.313268292981285e-28,True
AreaConstruida,0,3,357524,12724,731464477.5,0.0,0.0,True
AreaConstruida,0,2,357524,5848,496142053.0,0.0,0.0,True
AreaConstruida,3,2,12724,5848,46570058.0,1.2283936731523358e-167,1.474072407782803e-167,True
ConcentracaoPatrimonioHistorico,1,0,35757,357524,6692739422.0,0.0,0.0,True
ConcentracaoPatrimonioHistorico,1,3,35757,12724,229618861.0,0.00018546688913608533,0.00022256026696330239,True
ConcentracaoPatrimonioHistorico,1,2,35757,5848,106319726.0,8.473738193844872e-07,1.271060729076731e-06,True
ConcentracaoPatrimonioHistorico,0,3,357524,12724,2189176798.5,7.485132982610598e-197,2.2455398947831796e-196,True
ConcentracaoPatrimonioHistorico,0,2,357524,5848,1013859655.5,2.42347472179251e-63,4.84694944358502e-63,True
ConcentracaoPatrimonioHistorico,3,2,12724,5848,37482977.0,0.035790503064398356,0.035790503064398356,True
AreadaQuadra,1,0,35757,357524,6490921187.0,1.344198004435672e-06,1.344198004435672e-06,True
AreadaQuadra,1,3,35757,12724,262390323.5,3.700811397687455e-146,2.220486838612473e-145,True
AreadaQuadra,1,2,35757,5848,99194136.5,3.090287833433732e-10,3.7083454001204784e-10,True
AreadaQuadra,0,3,357524,12724,2570984337.5,3.733561770355378e-138,1.1200685311066135e-137,True
AreadaQuadra,0,2,357524,5848,980043868.5,2.142489816040776e-16,3.2137347240611643e-16,True
AreadaQuadra,3,2,12724,5848,29605970.0,4.720726348383882e-111,9.441452696767764e-111,True
ConcentracaoBOs,1,0,35757,357524,7573395520.0,0.0,0.0,True
ConcentracaoBOs,1,3,35757,12724,375252664.5,0.0,0.0,True
ConcentracaoBOs,1,2,35757,5848,99277387.5,5.776639381167927e-10,5.776639381167927e-10,True
ConcentracaoBOs,0,3,357524,12724,3680418691.0,0.0,0.0,True
ConcentracaoBOs,0,2,357524,5848,793749183.0,1.5752455379851904e-219,1.8902946455822284e-219,True
ConcentracaoBOs,3,2,12724,5848,12859356.0,0.0,0.0,True
Terreno,1,0,35757,357524,4750760956.0,0.0,0.0,True
Terreno,1,3,35757,12724,220013247.0,1.3080912524262642e-09,1.3080912524262642e-09,True
Terreno,1,2,35757,5848,111502524.0,1.542799387368812e-19,1.8513592648425743e-19,True
Terreno,0,3,357524,12724,2770088058.0,0.0,0.0,True
Terreno,0,2,357524,5848,1376348049.0,0.0,0.0,True
Terreno,3,2,12724,5848,40788939.5,1.428726899949727e-31,2.1430903499245905e-31,True
DeslocamentoTansporteColetivo,1,0,35757,357524,4396013223.5,0.0,0.0,True
DeslocamentoTansporteColetivo,1,3,35757,12724,257349038.0,1.6072427155186523e-107,2.4108640732779786e-107,True
DeslocamentoTansporteColetivo,1,2,35757,5848,116275885.5,4.00961782280983e-43,4.811541387371796e-43,True
DeslocamentoTansporteColetivo,0,3,357524,12724,3242659206.5,0.0,0.0,True
DeslocamentoTansporteColetivo,0,2,357524,5848,1463953005.5,0.0,0.0,True
DeslocamentoTansporteColetivo,3,2,12724,5848,36525543.0,0.04526353549863138,0.04526353549863138,True
Feminino,1,0,35757,357524,8466023413.0,0.0,0.0,True
Feminino,1,3,35757,3221,33184872.5,0.0,0.0,True
Feminino,1,2,35757,5848,87875194.0,1.9219286044619556e-85,1.9219286044619556e-85,True
Feminino,0,3,357524,3221,192621782.5,0.0,0.0,True
Feminino,0,2,357524,5848,554530697.5,0.0,0.0,True
Feminino,3,2,3221,5848,12261391.0,1.286680796852215e-125,1.544016956222658e-125,True
40a49anos,1,0,35757,357524,8296061294.0,0.0,0.0,True
40a49anos,1,3,35757,3221,36748366.0,1.912756130065899e-254,2.8691341950988484e-254,True
40a49anos,1,2,35757,5848,90071523.5,6.956692834476082e-65,6.956692834476082e-65,True
40a49anos,0,3,357524,3221,213009034.5,0.0,0.0,True
40a49anos,0,2,357524,5848,584777732.5,0.0,0.0,True
40a49anos,3,2,3221,5848,11722307.0,3.655293193287717e-83,4.3863518319452605e-83,True
OutrosUsos,1,0,35757,357524,6741293523.5,3.984009565572584e-68,5.976014348358876e-68,True
OutrosUsos,1,3,35757,12724,299967278.5,0.0,0.0,True
OutrosUsos,1,2,35757,5848,109442302.0,5.732900201801643e-09,6.879480242161971e-09,True
OutrosUsos,0,3,357524,12724,2829448583.0,0.0,0.0,True
OutrosUsos,0,2,357524,5848,1033167896.5,0.11578280758835932,0.11578280758835932,False
OutrosUsos,3,2,12724,5848,26914046.5,2.3752008628885077e-221,4.750401725777015e-221,True
OrigemMotivoEducacao,1,0,35757,357524,3015740640.0,0.0,0.0,True
OrigemMotivoEducacao,1,3,35757,12724,270811449.0,4.448454538531336e-224,6.672681807797004e-224,True
OrigemMotivoEducacao,1,2,35757,5848,122149747.0,7.038657663911165e-95,8.446389196693398e-95,True
OrigemMotivoEducacao,0,3,357524,12724,3836045611.0,0.0,0.0,True
OrigemMotivoEducacao,0,2,357524,5848,1738761466.0,0.0,0.0,True
OrigemMotivoEducacao,3,2,12724,5848,36260155.0,0.005365119350211519,0.005365119350211519,True
DistanciaStartup,1,0,35757,357523,178030369.0,0.0,0.0,True
DistanciaStartup,1,3,35757,12724,454972068.0,0.0,0.0,True
DistanciaStartup,1,2,35757,5848,169006748.0,0.0,0.0,True
DistanciaStartup,0,3,357523,12724,4539178163.0,0.0,0.0,True
DistanciaStartup,0,2,357523,5848,2064267976.0,0.0,0.0,True
DistanciaStartup,3,2,12724,5848,0.0,0.0,0.0,True
DestinoMotivotrabalhoindustria,1,0,35757,357524,5539783065.5,0.0,0.0,True
DestinoMotivotrabalhoindustria,1,3,35757,12724,260191747.5,1.4222441301675512e-128,2.8444882603351025e-128,True
DestinoMotivotrabalhoindustria,1,2,35757,5848,106016538.5,0.0857417928797769,0.0857417928797769,False
DestinoMotivotrabalhoindustria,0,3,357524,12724,2981450262.5,0.0,0.0,True
DestinoMotivotrabalhoindustria,0,2,357524,5848,1188318587.0,3.8208193486909136e-72,5.731229023036371e-72,True
DestinoMotivotrabalhoindustria,3,2,12724,5848,32634322.5,2.3727348717481547e-41,2.8472818460977855e-41,True
ResidencialAltoPadraoHor,1,0,35757,357524,7712679801.0,0.0,0.0,True
ResidencialAltoPadraoHor,1,3,35757,12724,257807959.5,1.7781591369249451e-146,2.6672387053874177e-146,True
ResidencialAltoPadraoHor,1,2,35757,5848,94986271.5,3.8704978106680006e-36,3.8704978106680006e-36,True
ResidencialAltoPadraoHor,0,3,357524,12724,2114036216.0,1.9617507736894745e-78,2.3541009284273695e-78,True
ResidencialAltoPadraoHor,0,2,357524,5848,737121418.0,0.0,0.0,True
ResidencialAltoPadraoHor,3,2,12724,5848,28972744.0,1.3986002483247192e-180,2.7972004966494384e-180,True
ValorConstrucaoM2,1,0,35757,357524,9914557379.0,0.0,0.0,True
ValorConstrucaoM2,1,3,35757,12724,165308689.5,0.0,0.0,True
ValorConstrucaoM2,1,2,35757,5848,83850205.0,1.0009924682025885e-130,1.201190961843106e-130,True
ValorConstrucaoM2,0,3,357524,12724,632641171.0,0.0,0.0,True
ValorConstrucaoM2,0,2,357524,5848,350310267.5,0.0,0.0,True
ValorConstrucaoM2,3,2,12724,5848,38936962.5,3.2697475649040493e-07,3.2697475649040493e-07,True
1Baldeacao,1,0,35757,357524,4920659483.0,0.0,0.0,True
1Baldeacao,1,3,35757,12724,251426078.0,8.868349984516842e-70,1.3302524976775264e-69,True
1Baldeacao,1,2,35757,5848,114462125.5,2.667982271295668e-31,3.2015787255548016e-31,True
1Baldeacao,0,3,357524,12724,3015845020.5,0.0,0.0,True
1Baldeacao,0,2,357524,5848,1363001020.0,0.0,0.0,True
1Baldeacao,3,2,12724,5848,37246241.0,0.9032155986788746,0.9032155986788746,False
ResidencialMedioPadraoHor,1,0,35757,357524,5676715514.0,4.694716339509676e-268,1.408414901852903e-267,True
ResidencialMedioPadraoHor,1,3,35757,12724,243846429.5,8.92824246741547e-34,1.3392363701123205e-33,True
ResidencialMedioPadraoHor,1,2,35757,5848,108153973.5,2.212122867916846e-05,2.212122867916846e-05,True
ResidencialMedioPadraoHor,0,3,357524,12724,2696041587.5,1.0354352053354852e-277,6.212611232012911e-277,True
ResidencialMedioPadraoHor,0,2,357524,5848,1202571158.0,5.381175510324686e-87,1.0762351020649372e-86,True
ResidencialMedioPadraoHor,3,2,12724,5848,35735191.5,1.3486861056268939e-05,1.6184233267522726e-05,True
UsoTotal,1,0,35757,357524,7025867283.5,1.392072735326826e-210,8.352436411960957e-210,True
UsoTotal,1,3,35757,12724,238770486.0,8.535536478409013e-17,1.0242643774090816e-16,True
UsoTotal,1,2,35757,5848,91407169.0,8.802070101939925e-54,1.3203105152909888e-53,True
UsoTotal,0,3,357524,12724,2191362441.0,2.1634141292951183e-12,2.1634141292951183e-12,True
UsoTotal,0,2,357524,5848,801473835.0,2.0777699386239833e-206,6.233309815871951e-206,True
UsoTotal,3,2,12724,5848,31206195.5,6.224978461429497e-70,1.2449956922858995e-69,True
OrigemMotivoOutros,1,0,35757,357524,4595377303.0,0.0,0.0,True
OrigemMotivoOutros,1,3,35757,12724,199069360.5,1.532219850523431e-97,2.2983297757851467e-97,True
OrigemMotivoOutros,1,2,35757,5848,111090300.5,1.6269817400090793e-14,1.6269817400090793e-14,True
OrigemMotivoOutros,0,3,357524,12724,2634910535.5,3.4200043026357326e-203,6.840008605271465e-203,True
OrigemMotivoOutros,0,2,357524,5848,1404873145.5,0.0,0.0,True
OrigemMotivoOutros,3,2,12724,5848,44153310.5,3.5411408215536577e-93,4.249368985864389e-93,True
ResidencialMedioPadraoVert_pct,1,0,35757,357524,7927025639.5,0.0,0.0,True
ResidencialMedioPadraoVert_pct,1,3,35757,12724,237209108.5,5.883806725241488e-17,5.883806725241488e-17,True
ResidencialMedioPadraoVert_pct,1,2,35757,5848,88891922.5,1.135240405681488e-97,1.3622884868177855e-97,True
ResidencialMedioPadraoVert_pct,0,3,357524,12724,1827032506.5,0.0,0.0,True
ResidencialMedioPadraoVert_pct,0,2,357524,5848,647986403.5,0.0,0.0,True
ResidencialMedioPadraoVert_pct,3,2,12724,5848,30118678.0,1.8269661962728137e-126,2.7404492944092208e-126,True
Caminhada,1,0,35757,357524,3329850065.0,0.0,0.0,True
Caminhada,1,3,35757,12724,217141832.0,2.3529437266876537e-14,2.3529437266876537e-14,True
Caminhada,1,2,35757,5848,115738787.0,2.0342220396719e-39,2.44106644760628e-39,True
Caminhada,0,3,357524,12724,3295492255.0,0.0,0.0,True
Caminhada,0,2,357524,5848,1645159652.0,0.0,0.0,True
Caminhada,3,2,12724,5848,42975091.5,7.70937027929776e-65,1.1564055418946642e-64,True
DestinoMotivoTrabalhoComercioServico,1,0,35757,357524,6624170480.5,8.037620883077835e-30,1.2056431324616753e-29,True
DestinoMotivoTrabalhoComercioServico,1,3,35757,12724,285895627.0,0.0,0.0,True
DestinoMotivoTrabalhoComercioServico,1,2,35757,5848,106305034.0,0.03967555513118459,0.04761066615742151,True
DestinoMotivoTrabalhoComercioServico,0,3,357524,12724,2952167203.5,0.0,0.0,True
DestinoMotivoTrabalhoComercioServico,0,2,357524,5848,1047636220.0,0.778694161926237,0.778694161926237,False
DestinoMotivoTrabalhoComercioServico,3,2,12724,5848,30173366.5,2.2358833747511498e-95,4.4717667495022996e-95,True
DistanciaAceleradoraIncubadora,1,0,35757,357523,3461718171.0,0.0,0.0,True
DistanciaAceleradoraIncubadora,1,3,35757,12724,441668530.5,0.0,0.0,True
DistanciaAceleradoraIncubadora,1,2,35757,5848,137644482.5,0.0,0.0,True
DistanciaAceleradoraIncubadora,0,3,357523,12724,4512065407.5,0.0,0.0,True
DistanciaAceleradoraIncubadora,0,2,357523,5848,1796758223.5,0.0,0.0,True
DistanciaAceleradoraIncubadora,3,2,12724,5848,0.0,0.0,0.0,True
DeslocamentoVeiculoIndividual,1,0,35757,357524,5630865347.0,1.2089656287064564e-302,1.8134484430596846e-302,True
DeslocamentoVeiculoIndividual,1,3,35757,12724,325802570.5,0.0,0.0,True
DeslocamentoVeiculoIndividual,1,2,35757,5848,106071617.5,0.07459002097504643,0.07459002097504643,False
DeslocamentoVeiculoIndividual,0,3,357524,12724,3573013323.0,0.0,0.0,True
DeslocamentoVeiculoIndividual,0,2,357524,5848,1175068473.0,1.0461966086283918e-59,1.2554359303540702e-59,True
DeslocamentoVeiculoIndividual,3,2,12724,5848,23189008.5,0.0,0.0,True
cr_2_pct,1,0,35757,357523,7967974167.5,0.0,0.0,True
cr_2_pct,1,3,35757,12416,184557861.0,1.794227726496403e-180,2.691341589744605e-180,True
cr_2_pct,1,2,35757,5848,104275908.5,0.7383955040675544,0.7383955040675544,False
cr_2_pct,0,3,357523,12416,1389093099.5,0.0,0.0,True
cr_2_pct,0,2,357523,5848,779928801.0,9.441291492520936e-290,1.8882582985041871e-289,True
cr_2_pct,3,2,12416,5848,42384868.5,2.933300179740127e-77,3.5199602156881526e-77,True
OrigemMotivoResidencia,1,0,35757,357524,5042221140.0,0.0,0.0,True
OrigemMotivoResidencia,1,3,35757,12724,280745971.0,0.0,0.0,True
OrigemMotivoResidencia,1,2,35757,5848,111042687.0,2.513150311212807e-14,2.513150311212807e-14,True
OrigemMotivoResidencia,0,3,357524,12724,3353225778.5,0.0,0.0,True
OrigemMotivoResidencia,0,2,357524,5848,1314937038.0,1.5650365026035022e-251,2.3475547539052532e-251,True
OrigemMotivoResidencia,3,2,12724,5848,31790446.5,2.5938970356819905e-57,3.1126764428183884e-57,True
ResidencialMedioPadraoHor_pct,1,0,35757,357524,5348791465.5,0.0,0.0,True
ResidencialMedioPadraoHor_pct,1,3,35757,12724,231409511.5,0.0036385598848029384,0.0036385598848029384,True
ResidencialMedioPadraoHor_pct,1,2,35757,5848,116513581.5,3.5569102757580253e-45,5.335365413637038e-45,True
ResidencialMedioPadraoHor_pct,0,3,357524,12724,2654508361.5,4.292532605633953e-226,8.585065211267906e-226,True
ResidencialMedioPadraoHor_pct,0,2,357524,5848,1359577450.5,0.0,0.0,True
ResidencialMedioPadraoHor_pct,3,2,12724,5848,40332081.0,1.8120411000499656e-20,2.1744493200599587e-20,True
